,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
191,191,[0],190.0,Inner+r=190+d=P5d2xf2WPS9+uid=CQZwTDZdYLbkbj25XUNQso,0,Inner+r=190+d=P5d2xf2WPS9+uid=CQZwTDZdYLbkbj25XUNQso
197,197,[191],193.0,Inner+r=193+d=P1hXqf8DWml+uid=BtP61MQCcFRifhJaQtIGra,191,Inner+r=193+d=P1hXqf8DWml+uid=BtP61MQCcFRifhJaQtIGra
198,198,[191],194.0,Inner+r=194+d=PeGJTGtRUxa+uid=DuG4zEcDWKJ-uhqdOmGlnj,191,Inner+r=194+d=PeGJTGtRUxa+uid=DuG4zEcDWKJ-uhqdOmGlnj
199,199,[197],194.0,Inner+r=194+d=PeGJTGtRUxa+uid=C4N42CkcvjhvESz9A3tdus,197,Inner+r=194+d=PeGJTGtRUxa+uid=C4N42CkcvjhvESz9A3tdus
201,201,[198],195.0,Inner+r=195+d=P2cEk9fSR8g+uid=5yXqxuz54D6OcxLKvv1MQ,198,Inner+r=195+d=P2cEk9fSR8g+uid=5yXqxuz54D6OcxLKvv1MQ
203,203,[199],195.0,Inner+r=195+d=P2cEk9fSR8g+uid=B-ugNSDViaWMhCwZrB--lM,199,Inner+r=195+d=P2cEk9fSR8g+uid=B-ugNSDViaWMhCwZrB--lM
207,207,[201],196.0,Inner+r=196+d=P7xbrbpXvpZ+uid=BeYnnb4J7dWqUxn0eC_jpK,201,Inner+r=196+d=P7xbrbpXvpZ+uid=BeYnnb4J7dWqUxn0eC_jpK
210,210,[203],196.0,Inner+r=196+d=P7xbrbpXvpZ+uid=D4H1yAI53FmfmN3IT1nciH,203,Inner+r=196+d=P7xbrbpXvpZ+uid=D4H1yAI53FmfmN3IT1nciH
214,214,[207],197.0,Inner+r=197+d=Pz44hSeL6zp+uid=DK3_kYxBpm2YL6TXoo0uCO,207,Inner+r=197+d=Pz44hSeL6zp+uid=DK3_kYxBpm2YL6TXoo0uCO
215,215,[207],197.0,Inner+r=197+d=Pdo-Eu9skoT+uid=BHFYp-S6RImKkXKgUeOyXl,207,Inner+r=197+d=Pdo-Eu9skoT+uid=BHFYp-S6RImKkXKgUeOyXl
219,219,[210],197.0,Inner+r=197+d=Pz44hSeL6zp+uid=D3gEfP14jHzJ3tVP3GmAbq,210,Inner+r=197+d=Pz44hSeL6zp+uid=D3gEfP14jHzJ3tVP3GmAbq
220,220,[210],197.0,Inner+r=197+d=Pdo-Eu9skoT+uid=B2SkTjJu4OrE29PcmLU8Fr,210,Inner+r=197+d=Pdo-Eu9skoT+uid=B2SkTjJu4OrE29PcmLU8Fr
224,224,[197],197.0,Inner+r=197+d=Pdo-Eu9skoT+uid=BZp4sTcxXZabfMulhxO4Mb,197,Inner+r=197+d=Pdo-Eu9skoT+uid=BZp4sTcxXZabfMulhxO4Mb
226,226,[214],198.0,Inner+r=198+d=NukCjaJxvS_+uid=BMeMerT9JCBjQvIrriDOpK,214,Inner+r=198+d=NukCjaJxvS_+uid=BMeMerT9JCBjQvIrriDOpK
227,227,[214],198.0,Inner+r=198+d=OIdjiw_cCrp+uid=zUILcitbBxCX-OhhI53K6,214,Inner+r=198+d=OIdjiw_cCrp+uid=zUILcitbBxCX-OhhI53K6
228,228,[214],198.0,Inner+r=198+d=LShTiKsdY3m+uid=D80m2t_NLPHrZOFy--oByg,214,Inner+r=198+d=LShTiKsdY3m+uid=D80m2t_NLPHrZOFy--oByg
