,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
100,100,[0],99.0,Inner+r=99+d=Pxyh_-uiNBZ+uid=Bm_sCG3yKWUJy0caVTSdpI,0,Inner+r=99+d=Pxyh_-uiNBZ+uid=Bm_sCG3yKWUJy0caVTSdpI
194,194,[100],146.0,Inner+r=146+d=PuGtxo94T2T+uid=B_D607VIKQn0IEF2m3Bfvz,100,Inner+r=146+d=PuGtxo94T2T+uid=B_D607VIKQn0IEF2m3Bfvz
203,203,[194],149.0,Inner+r=149+d=P2ioydMKMuO+uid=DwZd9KQgcVimm0jA7_awRG,194,Inner+r=149+d=P2ioydMKMuO+uid=DwZd9KQgcVimm0jA7_awRG
205,205,[194],150.0,Inner+r=150+d=PSU8eenfR-J+uid=DZEN3XYhX2eeOKWapRz6FO,194,Inner+r=150+d=PSU8eenfR-J+uid=DZEN3XYhX2eeOKWapRz6FO
207,207,[203],150.0,Inner+r=150+d=PSU8eenfR-J+uid=Co74EgkUyV0YDFtS8zDCnA,203,Inner+r=150+d=PSU8eenfR-J+uid=Co74EgkUyV0YDFtS8zDCnA
466,466,[100],194.0,Inner+r=194+d=O4E-ca-9yBv+uid=DuG4zEcDWKJ-uhqdOmGlnj,100,Inner+r=194+d=O4E-ca-9yBv+uid=DuG4zEcDWKJ-uhqdOmGlnj
470,470,[207],194.0,Inner+r=194+d=LiDZ6HSqRPo+uid=Bn2AcCcJFVJtVIBSthuVr-,207,Inner+r=194+d=LiDZ6HSqRPo+uid=Bn2AcCcJFVJtVIBSthuVr-
472,472,[466],195.0,Inner+r=195+d=N3Dfv-GjoxR+uid=5yXqxuz54D6OcxLKvv1MQ,466,Inner+r=195+d=N3Dfv-GjoxR+uid=5yXqxuz54D6OcxLKvv1MQ
480,480,[472],196.0,Inner+r=196+d=PH9F4kmcjzk+uid=Cv2-nSfr0OBVAfxvQ9Bh95,472,Inner+r=196+d=PH9F4kmcjzk+uid=Cv2-nSfr0OBVAfxvQ9Bh95
482,482,[466],196.0,Inner+r=196+d=PH9F4kmcjzk+uid=Dwo6ZoYeHoDdnbMK_4oQ5w,466,Inner+r=196+d=PH9F4kmcjzk+uid=Dwo6ZoYeHoDdnbMK_4oQ5w
484,484,[205],196.0,Inner+r=196+d=PA1Vpxlqble+uid=CUwFBToUVm5ppPF7ZohmY6,205,Inner+r=196+d=PA1Vpxlqble+uid=CUwFBToUVm5ppPF7ZohmY6
486,486,[470],196.0,Inner+r=196+d=DdpcnW7M1IH+uid=Cv3EfEqriaFkuYSNlFDreq,470,Inner+r=196+d=DdpcnW7M1IH+uid=Cv3EfEqriaFkuYSNlFDreq
490,490,[480],197.0,Inner+r=197+d=PeZjtKPdYin+uid=BeYnnb4J7dWqUxn0eC_jpK,480,Inner+r=197+d=PeZjtKPdYin+uid=BeYnnb4J7dWqUxn0eC_jpK
492,492,[480],197.0,Inner+r=197+d=P4yFBsROFIz+uid=BHFYp-S6RImKkXKgUeOyXl,480,Inner+r=197+d=P4yFBsROFIz+uid=BHFYp-S6RImKkXKgUeOyXl
502,502,[470],197.0,Inner+r=197+d=PlRXavabxoU+uid=B2RNOMmxRXNWf4YoZoju2P,470,Inner+r=197+d=PlRXavabxoU+uid=B2RNOMmxRXNWf4YoZoju2P
506,506,[490],198.0,Inner+r=198+d=Oj9gXyu8bBr+uid=CjEKhJt5dbKGTDcc-uf7oR,490,Inner+r=198+d=Oj9gXyu8bBr+uid=CjEKhJt5dbKGTDcc-uf7oR
507,507,[490],198.0,Inner+r=198+d=MqGmyXgxS3C+uid=Z3i3toOIARUFTu8fO1Waf,490,Inner+r=198+d=MqGmyXgxS3C+uid=Z3i3toOIARUFTu8fO1Waf
512,512,[472],198.0,Inner+r=198+d=NZXoc2W2xod+uid=Bv6lHKT64s9c4z3XCSlH2U,472,Inner+r=198+d=NZXoc2W2xod+uid=Bv6lHKT64s9c4z3XCSlH2U
513,513,[482],198.0,Inner+r=198+d=NInzlxPiRoC+uid=BwKTgVU1HSwej7RrUqLVUf,482,Inner+r=198+d=NInzlxPiRoC+uid=BwKTgVU1HSwej7RrUqLVUf
515,515,[205],198.0,Inner+r=198+d=O3hvrWNgRBt+uid=CGFD4Uctg3r9CO9WKnDyaP,205,Inner+r=198+d=O3hvrWNgRBt+uid=CGFD4Uctg3r9CO9WKnDyaP
516,516,[484],198.0,Inner+r=198+d=P3Cl_Cb6EYb+uid=j7HWXlhWjLnG1_1WBngOH,484,Inner+r=198+d=P3Cl_Cb6EYb+uid=j7HWXlhWjLnG1_1WBngOH
518,518,[203],198.0,Inner+r=198+d=PCI0n4MLCny+uid=CUnrqW4UHNAr08qh8uY10N,203,Inner+r=198+d=PCI0n4MLCny+uid=CUnrqW4UHNAr08qh8uY10N
523,523,[207],198.0,Inner+r=198+d=PIWxeoxZRAV+uid=iGXx3mE-9ZSqsukJqYhPh,207,Inner+r=198+d=PIWxeoxZRAV+uid=iGXx3mE-9ZSqsukJqYhPh
526,526,[506],199.0,Inner+r=199+d=NMkVW_tkGkO+uid=DYcGT8g9qyZWJMS2JZFVD_,506,Inner+r=199+d=NMkVW_tkGkO+uid=DYcGT8g9qyZWJMS2JZFVD_
528,528,[507],199.0,Inner+r=199+d=Ie1wG5LUN8H+uid=Vbqt56bFh9Lyl-HtEfJmd,507,Inner+r=199+d=Ie1wG5LUN8H+uid=Vbqt56bFh9Lyl-HtEfJmd
533,533,[492],199.0,Inner+r=199+d=PPg-JyUdMRc+uid=CzEq1vu9xVovl37fSVnRM9,492,Inner+r=199+d=PPg-JyUdMRc+uid=CzEq1vu9xVovl37fSVnRM9
540,540,[515],199.0,Inner+r=199+d=OJVWYD3E611+uid=C-QPOOSpRVVP27N7jU5NsD,515,Inner+r=199+d=OJVWYD3E611+uid=C-QPOOSpRVVP27N7jU5NsD
