,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
156,156,[0],155.0,Inner+r=155+d=PQcddPVVR0P+uid=CUOcdG2N3S78rweLBRFY3l,0,Inner+r=155+d=PQcddPVVR0P+uid=CUOcdG2N3S78rweLBRFY3l
167,167,[156],161.0,Inner+r=161+d=PzSEbU6t9-i+uid=C6qtZREieTL94YJ0eNG8E6,156,Inner+r=161+d=PzSEbU6t9-i+uid=C6qtZREieTL94YJ0eNG8E6
179,179,[167],165.0,Inner+r=165+d=PkbP0bVg9GH+uid=pYGWY8jVit7XSje6B1Xkw,167,Inner+r=165+d=PkbP0bVg9GH+uid=pYGWY8jVit7XSje6B1Xkw
185,185,[167],167.0,Inner+r=167+d=PfsyGlDnYWA+uid=t-BC5LFmYWapNqCLzAJpc,167,Inner+r=167+d=PfsyGlDnYWA+uid=t-BC5LFmYWapNqCLzAJpc
187,187,[179],167.0,Inner+r=167+d=PqsazPvuH8T+uid=DTAFYw4UmoNyj6NhpmYbh3,179,Inner+r=167+d=PqsazPvuH8T+uid=DTAFYw4UmoNyj6NhpmYbh3
202,202,[185],170.0,Inner+r=170+d=PSTFIdUs_D4+uid=CjEKhJt5dbKGTDcc-uf7oR,185,Inner+r=170+d=PSTFIdUs_D4+uid=CjEKhJt5dbKGTDcc-uf7oR
203,203,[179],170.0,Inner+r=170+d=PSTFIdUs_D4+uid=DpDAci1KdJWLL-cgUTK6YA,179,Inner+r=170+d=PSTFIdUs_D4+uid=DpDAci1KdJWLL-cgUTK6YA
248,248,[202],176.0,Inner+r=176+d=O7Bn3gtullt+uid=D4H1yAI53FmfmN3IT1nciH,202,Inner+r=176+d=O7Bn3gtullt+uid=D4H1yAI53FmfmN3IT1nciH
312,312,[202],183.0,Inner+r=183+d=P4dc6XRIHOd+uid=BzCxnsK5mfB7PwuUxOKon1,202,Inner+r=183+d=P4dc6XRIHOd+uid=BzCxnsK5mfB7PwuUxOKon1
313,313,[203],183.0,Inner+r=183+d=P4dc6XRIHOd+uid=_mODuwvfCP-7hM-puiDEQ,203,Inner+r=183+d=P4dc6XRIHOd+uid=_mODuwvfCP-7hM-puiDEQ
325,325,[203],184.0,Inner+r=184+d=P_X_hFKIRLX+uid=Ce5e_88w-CYmLIlICGGZO,203,Inner+r=184+d=P_X_hFKIRLX+uid=Ce5e_88w-CYmLIlICGGZO
346,346,[313],186.0,Inner+r=186+d=PGxN1EMqXgz+uid=CU2M1HcY47r5RC82L5Gcsy,313,Inner+r=186+d=PGxN1EMqXgz+uid=CU2M1HcY47r5RC82L5Gcsy
