,notebook,replicate,fitness-advantage,generation,prevalence,annotation
0,gene-selection-inference,6,0.0,0,0,2
1,gene-selection-inference,6,0.0,1,0,3
2,gene-selection-inference,6,0.0,2,0,2
3,gene-selection-inference,6,0.0,3,0,2
4,gene-selection-inference,6,0.0,4,0,3
5,gene-selection-inference,6,0.0,5,0,3
6,gene-selection-inference,6,0.0,6,0,3
7,gene-selection-inference,6,0.0,7,0,3
8,gene-selection-inference,6,0.0,8,0,3
9,gene-selection-inference,6,0.0,9,0,3
10,gene-selection-inference,6,0.0,10,0,3
11,gene-selection-inference,6,0.0,11,0,3
12,gene-selection-inference,6,0.0,12,0,4
13,gene-selection-inference,6,0.0,13,0,3
14,gene-selection-inference,6,0.0,14,0,4
15,gene-selection-inference,6,0.0,15,0,4
16,gene-selection-inference,6,0.0,16,0,4
17,gene-selection-inference,6,0.0,17,0,4
18,gene-selection-inference,6,0.0,18,0,4
19,gene-selection-inference,6,0.0,19,0,5
20,gene-selection-inference,6,0.0,20,0,5
21,gene-selection-inference,6,0.0,21,0,6
22,gene-selection-inference,6,0.0,22,0,8
23,gene-selection-inference,6,0.0,23,0,9
24,gene-selection-inference,6,0.0,24,0,10
25,gene-selection-inference,6,0.0,25,0,5
26,gene-selection-inference,6,0.0,26,0,4
27,gene-selection-inference,6,0.0,27,0,4
28,gene-selection-inference,6,0.0,28,0,4
29,gene-selection-inference,6,0.0,29,0,4
30,gene-selection-inference,6,0.0,30,0,4
31,gene-selection-inference,6,0.0,31,0,4
32,gene-selection-inference,6,0.0,32,0,5
33,gene-selection-inference,6,0.0,33,0,6
34,gene-selection-inference,6,0.0,34,0,4
35,gene-selection-inference,6,0.0,35,0,5
36,gene-selection-inference,6,0.0,36,0,6
37,gene-selection-inference,6,0.0,37,0,4
38,gene-selection-inference,6,0.0,38,0,3
39,gene-selection-inference,6,0.0,39,0,3
40,gene-selection-inference,6,0.0,40,0,4
41,gene-selection-inference,6,0.0,41,0,4
42,gene-selection-inference,6,0.0,42,0,4
43,gene-selection-inference,6,0.0,43,0,3
44,gene-selection-inference,6,0.0,44,0,3
45,gene-selection-inference,6,0.0,45,0,3
46,gene-selection-inference,6,0.0,46,0,3
47,gene-selection-inference,6,0.0,47,0,2
48,gene-selection-inference,6,0.0,48,0,2
49,gene-selection-inference,6,0.0,49,0,2
50,gene-selection-inference,6,0.0,50,0,1
51,gene-selection-inference,6,0.0,51,1,1
52,gene-selection-inference,6,0.0,52,1,1
53,gene-selection-inference,6,0.0,53,1,1
54,gene-selection-inference,6,0.0,54,2,1
55,gene-selection-inference,6,0.0,55,2,1
56,gene-selection-inference,6,0.0,56,2,2
57,gene-selection-inference,6,0.0,57,7,2
58,gene-selection-inference,6,0.0,58,5,3
59,gene-selection-inference,6,0.0,59,3,4
60,gene-selection-inference,6,0.0,60,4,4
61,gene-selection-inference,6,0.0,61,1,6
62,gene-selection-inference,6,0.0,62,1,7
63,gene-selection-inference,6,0.0,63,1,8
64,gene-selection-inference,6,0.0,64,1,9
65,gene-selection-inference,6,0.0,65,1,9
66,gene-selection-inference,6,0.0,66,1,9
67,gene-selection-inference,6,0.0,67,1,9
68,gene-selection-inference,6,0.0,68,4,8
69,gene-selection-inference,6,0.0,69,3,9
70,gene-selection-inference,6,0.0,70,1,11
71,gene-selection-inference,6,0.0,71,3,11
72,gene-selection-inference,6,0.0,72,1,11
73,gene-selection-inference,6,0.0,73,1,2
74,gene-selection-inference,6,0.0,74,4,2
75,gene-selection-inference,6,0.0,75,4,2
76,gene-selection-inference,6,0.0,76,10,2
77,gene-selection-inference,6,0.0,77,12,2
78,gene-selection-inference,6,0.0,78,13,2
79,gene-selection-inference,6,0.0,79,10,2
80,gene-selection-inference,6,0.0,80,6,2
81,gene-selection-inference,6,0.0,81,3,3
82,gene-selection-inference,6,0.0,82,1,3
83,gene-selection-inference,6,0.0,83,1,5
84,gene-selection-inference,6,0.0,84,1,5
85,gene-selection-inference,6,0.0,85,1,7
86,gene-selection-inference,6,0.0,86,1,8
87,gene-selection-inference,6,0.0,87,1,11
88,gene-selection-inference,6,0.0,88,1,11
89,gene-selection-inference,6,0.0,89,1,10
90,gene-selection-inference,6,0.0,90,1,13
91,gene-selection-inference,6,0.0,91,1,13
92,gene-selection-inference,6,0.0,92,2,8
93,gene-selection-inference,6,0.0,93,1,9
94,gene-selection-inference,6,0.0,94,2,8
95,gene-selection-inference,6,0.0,95,2,7
